dest_id,name,country,category,avg_cost,popularity_score,climate,best_season
118,Svalbard,Thailand,city,2253.56,0.177,temperate,summer
119,Tromsø,Vietnam,city,983.38,0.871,tropical,winter
120,Hiroshima,India,historical,4871.44,0.708,temperate,autumn
121,Scottish Highlands,Spain,island,1438.69,0.764,cold,spring
122,Mostar,USA,mountain,3480.77,0.892,arid,spring
123,Cairns,Australia,nature,3032.25,0.501,tropical,summer
124,Bologna,Italy,beach,4854.86,0.649,temperate,winter
125,Batumi,New Zealand,island,2476.34,0.595,temperate,summer
126,Mallorca,Iceland,beach,1175.2,0.179,arid,spring
127,Osaka,France,city,1269.42,0.423,mediterranean,autumn
128,Tonga,Australia,desert,1060.81,0.106,arid,autumn
129,Milford Sound,Australia,city,525.8,0.623,temperate,winter
130,Edinburgh,India,city,2235.52,0.407,tropical,summer
131,Liechtenstein,Greece,nature,3048.09,0.226,mediterranean,summer
132,Buenos Aires,Greece,city,4455.21,0.795,mediterranean,autumn
133,Reykjavik,Vietnam,mountain,2801.14,0.733,cold,spring
134,Kruger Park,Morocco,city,2591.17,0.939,mediterranean,summer
135,Bermuda,Portugal,mountain,1107.92,0.895,tropical,spring
136,Sardinia,Croatia,historical,4564.75,0.96,arid,spring
137,Rotorua,Japan,mountain,3644.77,0.612,tropical,summer
138,Sydney,Croatia,mountain,1861.34,0.402,mediterranean,winter
139,Bhutan,Thailand,desert,4720.38,0.981,arid,winter
140,Prague,Spain,island,3264.51,0.272,temperate,summer
141,Galápagos Islands,Switzerland,island,4162.34,0.111,arid,winter
142,Churchill,Italy,mountain,1943.3,0.661,arid,spring
143,Luxembourg,Morocco,desert,1166.29,0.491,arid,winter
144,Venice,Greece,beach,791.22,0.444,tropical,autumn
145,Cappadocia,New Zealand,city,2227.81,0.54,mediterranean,autumn
146,Kotor,Vietnam,mountain,1471.75,0.723,cold,autumn
147,Lake Garda,Portugal,mountain,2503.43,0.309,temperate,autumn
148,Fez,Thailand,desert,986.5,0.849,arid,spring
149,Komodo Island,Mexico,city,630.1,0.617,temperate,autumn
150,Tel Aviv,Turkey,historical,570.19,0.687,temperate,summer
151,Rio de Janeiro,India,desert,3894.39,0.845,arid,autumn
152,Machu Picchu,Croatia,mountain,2212.08,0.406,tropical,spring
153,Amazon Rainforest,Switzerland,beach,994.18,0.346,mediterranean,winter
154,Basque Country,Croatia,nature,1634.04,0.763,mediterranean,autumn
155,New Caledonia,Portugal,historical,2097.29,0.778,temperate,autumn
156,Xi'an,Italy,nature,4985.6,0.2,tropical,summer
157,Tunis,Turkey,island,1323.21,0.539,arid,autumn
158,Vanuatu,Switzerland,city,2812.19,0.259,temperate,summer
159,Tokyo,Croatia,historical,2140.1,0.802,mediterranean,spring
160,Lapland,Japan,island,1533.86,0.656,mediterranean,spring
161,Sahara Oasis,Vietnam,city,4449.94,0.852,temperate,autumn
162,Montevideo,Turkey,city,1066.11,0.898,tropical,summer
163,Nikko,India,historical,1013.28,0.154,cold,summer
164,Doha,Japan,mountain,2744.55,0.399,mediterranean,autumn
165,Havana Nights,Vietnam,nature,3986.63,0.259,arid,spring
166,Petra,Switzerland,beach,4561.84,0.7,mediterranean,winter
167,Uluru,Croatia,nature,1588.77,0.544,arid,summer
168,Zanzibar,India,beach,4160.44,0.803,mediterranean,autumn
169,Wadi Rum,France,historical,1311.75,0.96,mediterranean,autumn
170,Iguazu Falls,Spain,nature,3331.54,0.122,cold,spring
171,Varanasi,France,desert,1438.57,0.38,tropical,autumn
172,Mount Fuji,Vietnam,city,4952.26,0.665,tropical,winter
173,Fiji Islands,Italy,city,3443.4,0.778,temperate,winter
174,Turks and Caicos,Mexico,beach,1480.53,0.559,mediterranean,autumn
175,Cairo,New Zealand,historical,4811.19,0.353,mediterranean,autumn
176,Monaco,Japan,island,2732.49,0.882,tropical,winter
177,Guilin,Vietnam,mountain,2213.5,0.846,tropical,spring
178,Swiss Alps,Croatia,nature,4842.37,0.279,mediterranean,winter
179,Phuket,Japan,beach,4024.34,0.462,arid,spring
180,Hampi,Japan,island,2917.07,0.167,cold,winter
181,Seychelles,Portugal,historical,1685.41,0.855,mediterranean,autumn
182,Perth,Australia,mountain,652.11,0.129,mediterranean,spring
183,Aruba,Greece,nature,4267.94,0.675,cold,winter
184,Abel Tasman,Turkey,beach,1172.69,0.682,temperate,spring
185,Havana,Thailand,city,3213.65,0.138,temperate,winter
186,Ibiza,India,desert,4985.46,0.838,mediterranean,autumn
187,Kilimanjaro,Greece,desert,4667.69,0.781,temperate,spring
188,Luxor,New Zealand,island,2091.79,0.383,mediterranean,spring
189,Taj Mahal,Japan,island,2051.6,0.673,temperate,spring
190,Faroe Islands,Morocco,nature,4603.85,0.929,tropical,winter
191,Loire Valley,Vietnam,nature,1343.53,0.317,temperate,winter
192,Kathmandu,Australia,city,3063.11,0.641,cold,autumn
193,Cinque Terre,Mexico,mountain,1982.96,0.842,arid,spring
194,Cusco,India,beach,3238.56,0.799,tropical,autumn
195,Ladakh,Mexico,island,1583.31,0.172,arid,winter
196,Maldives,Morocco,mountain,3849.96,0.368,cold,summer
197,Bora Bora,Spain,mountain,1027.42,0.882,tropical,spring
198,Okinawa,Thailand,desert,547.4,0.385,temperate,spring
199,Niagara Falls,Italy,beach,902.22,0.479,temperate,summer
