user_id,age,nationality,travel_style,budget_level,past_trips
155,30,Spanish,cultural,luxury,2
156,68,Brazilian,luxury,moderate,10
157,49,Indian,relaxation,moderate,6
158,56,Spanish,adventure,luxury,4
159,66,Thai,cultural,moderate,5
160,69,Mexican,family,moderate,6
161,49,French,relaxation,budget,4
162,21,German,relaxation,budget,5
163,47,Canadian,adventure,luxury,6
164,54,Mexican,family,budget,3
165,40,Japanese,luxury,budget,7
166,56,Japanese,relaxation,moderate,7
167,62,German,adventure,premium,8
168,32,Spanish,luxury,budget,4
169,60,Brazilian,family,premium,7
170,46,French,relaxation,budget,3
171,53,Italian,luxury,budget,4
172,30,Japanese,luxury,luxury,4
173,49,French,luxury,luxury,0
174,24,Japanese,relaxation,luxury,1
175,68,Indian,relaxation,premium,1
176,39,Brazilian,cultural,moderate,7
177,45,Indian,family,budget,5
178,19,Korean,adventure,budget,5
179,59,Japanese,luxury,budget,8
180,62,Canadian,cultural,premium,3
181,23,Canadian,adventure,luxury,5
182,45,Indian,cultural,moderate,3
183,45,Thai,relaxation,premium,5
184,61,Mexican,luxury,luxury,1
185,61,Canadian,adventure,premium,7
186,37,Japanese,adventure,moderate,2
187,47,German,adventure,luxury,4
188,28,Indian,adventure,premium,6
189,45,Korean,adventure,moderate,7
190,42,Italian,cultural,budget,9
191,56,Italian,luxury,moderate,4
192,50,British,relaxation,budget,1
193,18,Mexican,relaxation,premium,4
194,44,Spanish,relaxation,luxury,6
195,69,Brazilian,relaxation,luxury,3
196,30,Canadian,cultural,premium,4
197,58,Canadian,family,luxury,2
198,20,Spanish,luxury,luxury,6
199,56,American,adventure,budget,8
200,23,Korean,family,premium,7
201,25,Chinese,relaxation,moderate,2
202,44,Indian,family,budget,6
203,26,Thai,luxury,premium,9
204,54,Korean,adventure,budget,3
205,50,Australian,adventure,moderate,8
206,68,Canadian,luxury,moderate,7
207,59,Brazilian,luxury,premium,6
208,61,British,relaxation,moderate,10
209,41,Italian,adventure,budget,5
210,32,Canadian,family,moderate,5
211,49,British,cultural,budget,5
212,49,Japanese,cultural,budget,5
213,41,Korean,luxury,moderate,4
214,58,Japanese,relaxation,premium,10
215,69,Chinese,cultural,luxury,3
216,66,German,adventure,moderate,2
217,66,Australian,luxury,budget,6
218,69,Korean,family,budget,4
219,29,American,luxury,moderate,4
220,56,Chinese,family,premium,8
221,19,French,luxury,premium,5
222,20,American,luxury,budget,4
223,66,Mexican,luxury,budget,7
224,54,Indian,family,premium,4
225,66,Brazilian,family,luxury,2
226,34,Korean,luxury,moderate,2
227,66,French,cultural,budget,3
228,19,French,relaxation,budget,3
229,19,Chinese,relaxation,premium,8
230,45,Spanish,relaxation,moderate,6
231,40,Mexican,family,premium,0
232,54,German,family,moderate,8
233,49,Korean,cultural,moderate,5
234,50,Spanish,relaxation,moderate,4
235,18,Chinese,relaxation,budget,5
236,36,Indian,luxury,luxury,7
237,19,Italian,family,premium,6
238,61,Canadian,relaxation,luxury,3
239,43,Canadian,cultural,premium,4
240,49,German,cultural,moderate,2
241,23,Indian,relaxation,budget,4
242,49,Thai,family,luxury,1
243,21,German,cultural,budget,9
244,28,Korean,luxury,premium,3
245,34,Korean,cultural,budget,1
246,55,British,adventure,budget,5
247,41,Spanish,adventure,luxury,4
248,22,Thai,family,moderate,6
249,69,Canadian,relaxation,budget,5
250,51,French,family,moderate,8
251,23,Spanish,family,premium,5
252,39,Australian,family,budget,7
253,28,Korean,family,luxury,4
254,65,Mexican,luxury,premium,1
255,33,Brazilian,luxury,premium,5
256,50,Indian,cultural,luxury,4
257,26,American,adventure,budget,3
258,23,German,family,budget,2
259,33,Korean,cultural,premium,12
260,46,Spanish,adventure,budget,5
261,20,Thai,relaxation,moderate,10
262,37,Brazilian,luxury,luxury,6
263,53,Mexican,adventure,moderate,1
264,36,Spanish,relaxation,budget,6
265,43,American,adventure,premium,2
266,20,Brazilian,luxury,luxury,4
267,36,Australian,luxury,budget,5
268,37,American,cultural,budget,8
269,49,Chinese,family,premium,4
270,24,Japanese,adventure,premium,2
271,69,Chinese,adventure,moderate,1
272,58,Canadian,relaxation,luxury,8
273,50,Spanish,luxury,luxury,8
274,57,Korean,adventure,premium,4
275,56,Korean,luxury,moderate,1
276,35,Korean,adventure,luxury,9
277,57,Mexican,cultural,premium,4
278,18,Japanese,family,budget,2
279,28,Chinese,adventure,luxury,4
280,45,Japanese,luxury,moderate,3
281,42,Italian,cultural,moderate,8
282,67,Spanish,adventure,moderate,9
283,40,Japanese,relaxation,budget,4
284,48,French,family,luxury,4
285,47,German,adventure,luxury,5
286,59,German,cultural,budget,11
287,52,French,relaxation,luxury,8
288,24,Brazilian,cultural,budget,6
289,33,British,cultural,budget,2
290,43,Mexican,relaxation,budget,8
291,65,Brazilian,cultural,moderate,7
292,69,American,relaxation,luxury,6
293,66,Thai,adventure,budget,5
294,19,Mexican,relaxation,luxury,3
295,18,Mexican,relaxation,moderate,5
296,65,American,family,budget,3
297,29,Japanese,relaxation,premium,3
298,22,Chinese,relaxation,moderate,7
299,54,Chinese,adventure,premium,4
300,49,German,family,luxury,4
301,26,Indian,luxury,luxury,6
302,58,Brazilian,adventure,moderate,6
303,52,Italian,adventure,luxury,3
304,36,Spanish,luxury,premium,4
305,65,Canadian,relaxation,budget,6
306,33,Australian,cultural,budget,6
307,20,Chinese,family,budget,6
308,37,Spanish,cultural,moderate,6
309,41,Australian,luxury,luxury,3
310,50,Spanish,adventure,premium,5
311,41,Japanese,adventure,luxury,2
312,69,Australian,family,luxury,5
313,28,Canadian,adventure,luxury,3
314,66,Spanish,adventure,budget,3
315,25,French,family,premium,5
316,53,Canadian,family,premium,11
317,55,Australian,luxury,luxury,7
318,57,Canadian,adventure,budget,7
319,37,Spanish,adventure,budget,4
320,52,British,luxury,premium,1
321,65,Spanish,relaxation,budget,4
322,42,Spanish,relaxation,budget,5
323,52,Japanese,relaxation,budget,4
324,42,Brazilian,luxury,moderate,4
325,46,French,adventure,luxury,7
326,35,Italian,luxury,premium,6
327,63,Chinese,luxury,premium,8
328,35,Mexican,relaxation,moderate,4
329,19,American,cultural,luxury,3
330,52,Brazilian,adventure,premium,0
331,33,American,relaxation,budget,4
332,58,Japanese,cultural,premium,1
333,53,French,cultural,budget,4
334,50,Korean,family,moderate,3
335,21,Spanish,adventure,budget,5
336,50,Korean,cultural,premium,6
337,31,Korean,relaxation,premium,6
338,38,Thai,family,premium,4
339,65,German,adventure,moderate,4
340,37,Korean,luxury,moderate,5
341,25,Chinese,relaxation,luxury,1
342,24,British,cultural,premium,9
343,20,German,cultural,budget,7
344,34,Japanese,relaxation,moderate,5
345,50,Mexican,cultural,premium,4
346,65,Brazilian,family,premium,5
347,29,British,adventure,moderate,4
348,68,Canadian,family,luxury,1
349,39,Australian,cultural,moderate,3
350,39,Thai,luxury,moderate,7
351,63,British,adventure,budget,6
352,47,Italian,adventure,budget,10
353,55,Korean,relaxation,luxury,4
354,55,Japanese,relaxation,premium,5
355,62,Indian,luxury,moderate,6
356,68,Australian,adventure,luxury,6
357,25,American,luxury,budget,8
358,44,Chinese,relaxation,moderate,4
359,44,American,relaxation,premium,3
360,51,British,adventure,budget,3
361,38,Mexican,family,budget,9
362,47,American,cultural,budget,7
363,50,Italian,relaxation,luxury,2
364,45,Japanese,relaxation,premium,2
365,64,Canadian,family,moderate,4
366,50,Mexican,family,luxury,6
367,22,Brazilian,luxury,luxury,9
368,65,Chinese,luxury,luxury,11
369,36,Italian,cultural,budget,4
370,21,Italian,cultural,premium,7
371,52,American,adventure,luxury,7
372,66,Korean,luxury,moderate,3
373,34,American,relaxation,premium,7
374,61,British,luxury,moderate,5
375,45,Brazilian,relaxation,premium,2
376,47,German,family,moderate,9
377,46,Mexican,luxury,budget,6
378,63,American,family,luxury,3
379,23,Japanese,cultural,moderate,6
380,52,Indian,cultural,premium,3
381,58,Chinese,adventure,luxury,2
382,54,Spanish,luxury,luxury,8
383,41,American,family,premium,4
384,46,Japanese,relaxation,moderate,5
385,66,Mexican,cultural,budget,4
386,63,Japanese,cultural,budget,3
387,48,Chinese,relaxation,moderate,4
388,52,German,family,luxury,3
389,50,Japanese,family,luxury,11
390,69,Indian,luxury,luxury,6
391,38,Japanese,luxury,luxury,5
392,49,Japanese,adventure,moderate,5
393,40,Japanese,cultural,luxury,5
394,50,Canadian,luxury,premium,3
395,20,Canadian,family,luxury,6
396,35,German,relaxation,budget,4
397,42,American,family,luxury,5
398,59,Japanese,cultural,moderate,3
399,48,Thai,family,budget,7
400,20,Brazilian,adventure,moderate,3
401,57,Thai,cultural,moderate,6
402,63,American,relaxation,budget,7
403,41,German,adventure,moderate,1
404,67,Korean,cultural,moderate,6
405,49,Korean,relaxation,luxury,4
406,64,French,adventure,premium,2
407,39,Thai,adventure,moderate,2
408,40,American,cultural,moderate,5
409,19,American,luxury,moderate,5
410,44,Australian,adventure,luxury,3
411,59,British,adventure,premium,5
412,19,Spanish,relaxation,budget,11
413,43,Mexican,family,luxury,2
414,34,Australian,cultural,luxury,6
415,57,Indian,cultural,premium,5
416,50,Canadian,luxury,premium,3
417,26,Canadian,luxury,luxury,4
418,60,British,cultural,budget,10
419,65,Chinese,luxury,luxury,1
420,56,Chinese,relaxation,premium,8
421,46,German,cultural,budget,3
422,59,Italian,luxury,premium,5
423,43,British,cultural,budget,4
424,52,Spanish,family,moderate,11
425,67,American,adventure,premium,3
426,42,Chinese,cultural,premium,4
427,41,Spanish,adventure,luxury,3
428,30,Japanese,luxury,premium,3
429,24,Thai,adventure,premium,8
430,53,Thai,cultural,moderate,1
431,62,Italian,family,premium,5
432,37,Brazilian,luxury,moderate,7
433,18,American,cultural,moderate,3
434,25,Mexican,luxury,moderate,7
435,63,Mexican,relaxation,moderate,5
436,33,Indian,adventure,budget,7
437,31,Mexican,relaxation,luxury,5
438,29,Japanese,cultural,budget,7
439,68,Japanese,family,premium,5
440,40,Thai,luxury,budget,4
441,32,British,adventure,budget,5
442,45,Italian,luxury,premium,11
443,51,German,cultural,premium,7
444,19,Indian,luxury,premium,6
445,49,Chinese,adventure,budget,3
446,40,Spanish,cultural,budget,0
447,39,British,luxury,premium,10
448,68,Chinese,family,luxury,5
449,42,British,cultural,luxury,5
450,39,British,cultural,moderate,3
451,39,British,family,premium,4
452,66,Thai,relaxation,moderate,2
453,69,Mexican,adventure,luxury,2
454,59,Italian,relaxation,moderate,7
455,23,German,luxury,premium,3
456,32,Mexican,family,premium,1
457,60,British,relaxation,premium,3
458,54,French,cultural,budget,7
459,50,Brazilian,luxury,moderate,5
460,25,Chinese,luxury,luxury,5
461,61,American,relaxation,luxury,4
462,61,Australian,relaxation,luxury,5
463,22,Mexican,family,budget,5
464,56,Spanish,adventure,budget,3
465,21,Thai,relaxation,premium,3
466,23,Indian,relaxation,luxury,6
467,62,Canadian,cultural,budget,6
468,49,German,luxury,premium,4
469,69,American,adventure,luxury,9
470,47,Japanese,cultural,moderate,6
471,64,Korean,family,premium,5
472,52,French,family,budget,5
473,57,Canadian,relaxation,budget,4
474,69,Australian,relaxation,premium,10
475,33,American,family,premium,6
476,30,Canadian,relaxation,budget,2
477,67,American,adventure,moderate,4
478,59,Spanish,relaxation,luxury,3
479,47,French,luxury,moderate,2
480,36,Australian,relaxation,premium,5
481,34,Japanese,cultural,moderate,6
482,36,British,adventure,budget,5
483,45,Chinese,cultural,premium,10
484,43,Japanese,cultural,luxury,5
485,54,British,luxury,budget,5
486,43,Korean,adventure,budget,4
487,40,Thai,adventure,luxury,4
488,26,Italian,adventure,luxury,3
489,29,Italian,adventure,moderate,6
490,18,Italian,adventure,premium,4
491,18,German,luxury,luxury,2
492,64,Mexican,relaxation,luxury,9
493,51,Brazilian,cultural,premium,5
494,49,Indian,adventure,luxury,9
495,65,Indian,relaxation,luxury,5
496,42,Mexican,relaxation,moderate,5
497,57,Italian,cultural,budget,1
498,62,Chinese,luxury,budget,5
499,18,Australian,family,budget,8
